id,greek,english,russian,level,group,type,example
2213,το φυσικό αέριο,natural gas,природный газ,A2,weather,noun,Ζεσταίνω το σπίτι με φυσικό αέριο.
2214,το φυτό,plant,растение,A2,nature,noun,Έχω πολλά φυτά στο μπαλκόνι μου.
2215,φυτεύω,to plant,сажать,A2,verbs,verb,Φυτεύω λουλούδια στον κήπο κάθε άνοιξη.
2216,φυσάω,to blow,дуть,A2,verbs,verb,Φυσάω τα κεριά στην τούρτα γενεθλίων.
2217,φυσικά,"of course, certainly","конечно, безусловно",A2,school,adverb,Φυσικά θα έρθω στο πάρτι!
2218,η φωτιά,fire,огонь,A2,weather,noun,Ανάβουμε φωτιά στο τζάκι το χειμώνα.
2219,φωτίζω,"to light, to illuminate",освещать,A2,verbs,verb,Φωτίζω το δωμάτιο με ένα μεγάλο φωτιστικό.
2220,το φωτιστικό,lamp,лампа,A2,home,noun,Αγόρασα νέο φωτιστικό για το γραφείο μου.
2221,ο/η φωτογράφος,photographer,фотограф,A2,professions,noun,Ο φωτογράφος τράβηξε πολλές ωραίες φωτογραφίες.
2222,το χάδι,touch,ласка,A2,objects,noun,Χαίρεται πάντα όταν του κάνω χάδι.
2223,χαιρετάω,to say hello,поздороваться,A2,verbs,verb,Χαιρετάω τους γείτονές μου κάθε πρωί.
2224,χαίρετε,"hello, goodbye","здравствуйте, до свидания",A2,communication,interjection,"Χαίρετε, τι θα θέλατε;"
2225,ο χαιρετισμός,greeting,приветствие,A2,objects,noun,Ο χαιρετισμός «καλημέρα» με κάνει να χαμογελώ.
2226,το χαλί,carpet,ковер,A2,objects,noun,Έχω ένα μεγάλο χαλί στο σαλόνι.
2227,χαμηλός,"short, low","короткий, низкий",A2,descriptions,adjective,Το τραπεζάκι είναι πολύ χαμηλό για εμένα.
2228,το χαμάμ,Turkish bath,Турецкая баня,A2,leisure,noun,Πήγα στο χαμάμ για χαλάρωση.
2229,το χαμομήλι,chamomile,ромашка,A2,food,noun,Πίνω χαμομήλι το βράδυ για να κοιμηθώ.
2230,το χάπι,pill,таблетка,A2,objects,noun,Παίρνω ένα χάπι για τον πονοκέφαλο.
2231,ο Χαράλαμπος,Charalambos,Хараламбос,A2,names,noun,Ο Χαράλαμπος είναι ο πατέρας της φίλης μου.
2232,χαρίζω,"to donate, to gift","дарить, преподносить в дар",A2,verbs,verb,Χαρίζω βιβλία στη βιβλιοθήκη κάθε χρόνο.
2233,η Χαρίκλεια,Chariklia,Хариклия,A2,names,noun,Η Χαρίκλεια είναι η γυναίκα του φίλου μου.
2234,η χαρτοπετσέτα,napkin,салфетка,A2,objects,noun,Έβαλα χαρτοπετσέτες στο τραπέζι.
2235,χλιαρός,lukewarm,теплый,A2,weather,adjective,Θέλω το νερό χλιαρό στο ντους.
2236,η ύψιλον υγεία,health,здоровье,A2,body,noun,Η υγεία είναι το σημαντικότερο πράγμα στη ζωή.
2237,ο/η υπάλληλος,employee,работник,A2,school,noun,Ο υπάλληλος της τράπεζας με εξυπηρέτησε καλά.
2238,υπέροχος,"marvellous, wonderful","изумительный, замечательный",A2,descriptions,adjective,Ο καιρός είναι υπέροχος σήμερα.
2239,το υπνοδωμάτιο,bedroom,спальня,A2,home,noun,Το υπνοδωμάτιό μου έχει μεγάλο παράθυρο.
2240,ο υπολογιστής,computer,компьютер,A2,school,noun,Χρησιμοποιώ τον υπολογιστή μου κάθε μέρα.
2241,υποχρεωτικός,obligatory,обязательный,A2,objects,adjective,Η εκμάθηση της γλώσσας είναι υποχρεωτική.
2242,το ύφασμα,"cloth, fabric",ткань,A2,clothes,noun,Αγόρασα ύφασμα για να ράψω κουρτίνες.
2243,η υψηλή θερμοκρασία,"high temperature, fever","высокая температура, жар",A2,body,noun,Το παιδί έχει υψηλή θερμοκρασία και μένει σπίτι.
2244,ο χορευτής,dancer,танцор,A2,music,noun,Ο χορευτής είναι στη σκηνή.
2245,Χριστός Ανέστη!,Christ is risen!,Христос воскрес!,A2,holidays,phrase,Χριστός Ανέστη! Αληθώς Ανέστη!
2246,χριστουγεννιάτικος,"Christmas, Christmas-related",рождественский,A2,time,adjective,Στολίζω το χριστουγεννιάτικο δέντρο κάθε Δεκέμβριο.
2247,η χρονιά,year,год,A2,time,noun,Αυτή η χρονιά ήταν πολύ δύσκολη.
2248,χρόνια πολλά!,merry Christmas!,с Рождеством!,A2,holidays,interjection,"Χρόνια πολλά και ό,τι θέλεις!"
2249,χτυπάει το τηλέφωνο,the phone is ringing,телефон звонит,A2,communication,phrase,"Περίμενε, χτυπάει το τηλέφωνο."
2250,χωρισμένος,"separated, divorced","разделенный, разведенный",A2,descriptions,adjective,Είναι χωρισμένος εδώ και χρόνια.
2251,τα ψι ψάρι,fish,рыба,A2,food,noun,Τρώω ψάρι κάθε Παρασκευή.
2252,λέω ψέματα,to lie,лгать,A2,verbs,verb,Δεν λέω ψέματα στους φίλους μου ποτέ.
2253,ψητός,"roast, baked","жареный, запеченный",A2,descriptions,adjective,Θέλω ψητό κοτόπουλο για βραδινό.
2254,ψιχαλίζει,it drizzles,моросит,A2,objects,verb,Ψιχαλίζει ελαφρά αλλά δεν χρειάζεται ομπρέλα.
2255,το ωδείο,conservatory,консерватория,A2,music,noun,Παίζω πιάνο στο ωδείο κάθε Τετάρτη.
2256,αγγίζω,to touch,касаться,B1,verbs,verb,Η μουσική με αγγίζει βαθιά.
2257,η αγελάδα,cow,корова,B1,animals,noun,Η αγελάδα δίνει γάλα κάθε μέρα.
2258,η αγένεια,"rudeness, impoliteness","грубость, невежливость",B1,concepts,noun,η αγένεια είναι σημαντική.
2259,το αγιόκλημα,honeysuckle,жимолость,B1,nature,noun,το αγιόκλημα είναι όμορφο.
2260,ο Άγιος Μαυρίκιος,Mauritius,Маврикий,B1,objects,noun,ο Άγιος Μαυρίκιος είναι χρήσιμος.
2261,αγκαλιάζω,"to embrace, to hug","обнять, обниматься",B1,verbs,verb,Αγκαλιάζω τη μητέρα μου.
2262,η αγοραπωλησία,"transaction, sale","сделка, продажа",B1,shopping,noun,η αγοραπωλησία είναι καλή.
2263,αγορασμένος,"bought, purchased",купленный,B1,shopping,adjective,Ο φίλος μου είναι αγορασμένος.
2264,ο αγοραστής,"buyer, purchaser",покупатель,B1,people,noun,ο αγοραστής μένει κοντά μας.
2265,αγριεύω,"to become wild, anger","свирепеть, злить",B1,verbs,verb,Σήμερα αγριεύω νωρίς.
2266,το Αγρίνιο,Agrinio,Агрини,B1,geography,noun,το Αγρίνιο είναι όμορφο.
2267,ο αγρός,field,поле,B1,nature,noun,ο αγρός είναι όμορφος.
2268,ο αγρότης,farmer,фермер,B1,nature,noun,ο αγρότης είναι όμορφος.
2269,αγροτικός,agricultural,сельскохозяйственный,B1,nature,adjective,Ο φίλος μου είναι αγροτικός.
2270,αγχωμένος,"stressed, anxious","напряженный, тревожный",B1,descriptions,adjective,Ο φίλος μου είναι αγχωμένος.
2271,αγχώνομαι,to stress out,"нервничать, переживать",B1,verbs,verb,Τώρα αγχώνομαι λίγο.
2272,αγχώνω,to make nervous,заставлять нервничать,B1,verbs,verb,Τώρα αγχώνω λίγο.
2273,αγχωτικός,stressful,стрессовый,B1,feelings,adjective,Ο τρόπος είναι αγχωτικός.
2274,άδικος,"unfair, wrongful",несправедливый,B1,descriptions,adjective,Ο φίλος μου είναι άδικος.
2275,η αδικία,injustice,несправедливость,B1,society,noun,η αδικία είναι σημαντική.
2276,αδύναμος,"weak, frail",слабый,B1,concepts,adjective,Ο τρόπος είναι αδύναμος.
2277,ο αέρας,"wind, air","ветер, воздух",B1,weather,noun,ο αέρας είναι όμορφος.
2278,αεροπορικός,"air, aviation","воздух, авиация",B1,weather,adjective,Ο δρόμος είναι αεροπορικός.
2279,ο/η αεροσυνοδός,flight attendant,бортпроводник,B1,professions,noun,ο αεροσυνοδός μένει κοντά μας.
2280,η άθληση,"exercise, sports","физические упражнения, спорт",B1,sports,noun,Μου αρέσει η άθληση.
2281,αθλούμαι,"to work out, to exercise","тренироваться, заниматься спортом",B1,verbs,verb,Τώρα αθλούμαι λίγο.
2282,αθόρυβος,"silent, quiet","молчать, тихий",B1,concepts,adjective,Ο τρόπος είναι αθόρυβος.
2283,ο/η Αιγόκερως,Capricorn,Козерог,B1,objects,noun,ο Αιγόκερως είναι χρήσιμος.
2284,αιμορραγώ,to bleed,кровоточить,B1,verbs,verb,Τώρα αιμορραγώ λίγο.
2285,ο Αινστάιν,"Einstein, Albert","Эйнштейн, Альберт",B1,names,noun,ο Αινστάιν μένει κοντά μας.
2286,το αίσθημα,"feeling, emotion","чувство, эмоция",B1,feelings,noun,το αίσθημα είναι σημαντικό.
2287,η αισθητική,aesthetics,эстетика,B1,objects,noun,η αισθητική είναι χρήσιμη.
2288,η αισιοδοξία,optimism,оптимизм,B1,concepts,noun,η αισιοδοξία είναι σημαντική.
2289,αισιόδοξος,optimistic,оптимистичный,B1,descriptions,adjective,Ο φίλος μου είναι αισιόδοξος.
2290,αισιοδοξώ,to be optimistic,быть оптимистом,B1,verbs,verb,Τώρα αισιοδοξώ λίγο.
2291,η αιτιολογία,"reasoning, explanation","аргументация, объяснение",B1,concepts,noun,η αιτιολογία είναι σημαντική.
2292,αιτιολογώ,to justify,оправдывать,B1,verbs,verb,Τώρα αιτιολογώ λίγο.
2293,ο αιώνας,century,столетие,B1,objects,noun,ο αιώνας είναι χρήσιμος.
2294,ακατάλληλος,inappropriate,неуместный,B1,objects,adjective,Ο υπολογιστής είναι ακατάλληλος.
2295,ακίνδυνος,harmless,безвредный,B1,descriptions,adjective,Ο φίλος μου είναι ακίνδυνος.
2296,ακίνητος,"still, motionless","неподвижный, застывший",B1,descriptions,adjective,Ο φίλος μου είναι ακίνητος.
2297,άκομψος,"inelegant, in poor taste","неэлегантный, в плохом вкусе",B1,concepts,adjective,Ο τρόπος είναι άκομψος.
2298,ακούγομαι,to be heard,быть услышанным,B1,verbs,verb,Τώρα ακούγομαι λίγο.
2299,ακουμπάω,"to lean, to touch","наклоняться, касаться",B1,verbs,verb,Τώρα ακουμπάω λίγο.
2300,ακουστικός,"hearing, acoustic","слух, акустический",B1,descriptions,adjective,Ο φίλος μου είναι ακουστικός.
2301,το άκρο,"edge, end","край, конец",B1,space,noun,το άκρο είναι καλό.
2302,η ακρογιαλιά,"seaside, beach","побережье, пляж",B1,weather,noun,η ακρογιαλιά είναι όμορφη.
2303,η Ακρόπολη,Acropolis,Акрополь,B1,countries,noun,η Ακρόπολη είναι όμορφη.
2304,η ακροστιχίδα,"acrostic, acronym","акростический, акроним",B1,concepts,noun,η ακροστιχίδα είναι σημαντική.
2305,η ακτινογραφία,X-ray,рентген,B1,health,noun,η ακτινογραφία είναι καλή.
2306,ο/η ακτινολόγος,radiologist,радиолог,B1,health,noun,ο ακτινολόγος είναι καλός.
2307,άκυρος,invalid,недействительный,B1,objects,adjective,Ο υπολογιστής είναι άκυρος.
2308,ακυρώνομαι,to be canceled,отменяться,B1,verbs,verb,Μπορώ να έρθω αύριο.
2309,ακυρώνω,"to cancel, to invalidate","отменить, недействительным",B1,verbs,verb,Μπορώ να έρθω αύριο.
2310,η ακύρωση,"cancellation, invalidation","аннулирование, признание недействительным",B1,concepts,noun,η ακύρωση είναι σημαντική.
2311,αλείφω,"to spread, to anoint","намазывать, помазывать",B1,verbs,verb,Σήμερα αλείφω με έναν φίλο.
2312,η αλεπού,fox,лисица,B1,objects,noun,η αλεπού είναι χρήσιμη.
2313,αλευρώνω,"to flour, to dust with flour","обваливать в муке, посыпать мукой",B1,verbs,verb,Τώρα αλευρώνω λίγο.
2314,αληθινός,"true, real","истинный, реальный",B1,descriptions,adjective,Ο φίλος μου είναι αληθινός.
2315,το αλκοόλ,alcohol,алкоголь,B1,objects,noun,το αλκοόλ είναι χρήσιμο.
2316,αλκοολούχος,alcoholic,алкогольный,B1,descriptions,adjective,Ο φίλος μου είναι αλκοολούχος.
2317,αλλαγμένος,"turned around, changed","поворачиваться, меняться",B1,concepts,adjective,Ο τρόπος είναι αλλαγμένος.
2318,αλλάζω γνώμη,to change my mind,изменить свое мнение,B1,verbs,verb,Τώρα αλλάζω γνώμη λίγο.
2319,το αλλαντικό,deli meat,мясные деликатесы,B1,food,noun,το αλλαντικό είναι νόστιμο.
2320,η αλλεργία,allergy,аллергия,B1,health,noun,η αλλεργία είναι καλή.
2321,αλλεργικός,allergic,аллергический,B1,health,adjective,Ο φίλος μου είναι αλλεργικός.
2322,άλλωστε,"besides, moreover","помимо, более того",B1,space,adverb,Μιλάει άλλωστε.
2323,η αλμύρα,saltiness,соленость,B1,food,noun,η αλμύρα είναι νόστιμη.
2324,η αλοιφή,"paste, dip","паста, окунать",B1,food,noun,η αλοιφή είναι νόστιμη.
2325,το αλουμίνιο,aluminum,алюминий,B1,objects,noun,το αλουμίνιο είναι χρήσιμο.
2326,το αλουμινόχαρτο,aluminum foil,алюминиевая фольга,B1,objects,noun,το αλουμινόχαρτο είναι χρήσιμο.
2327,η αλώβητα,"untouched, unscathed","нетронутый, невредимый",B1,descriptions,noun,η αλώβητα είναι καλή.
2328,η αμαξοστοιχία,train,поезд,B1,city,noun,η αμαξοστοιχία είναι όμορφη.
2329,η Αμερική,"America, USA","Америка, США",B1,countries,noun,η Αμερική είναι όμορφη.
2330,άμεσα,"promptly, directly","быстро, непосредственно",B1,descriptions,adverb,Μιλάει άμεσα.
2331,αμοιβαίος,"mutual, reciprocal",взаимный,B1,descriptions,adjective,Ο φίλος μου είναι αμοιβαίος.
2332,η αμοιβαιότητα,mutuality,взаимность,B1,concepts,noun,η αμοιβαιότητα είναι σημαντική.
2333,η Αμοργός,Amorgos,Аморгос,B1,geography,noun,η Αμοργός είναι όμορφη.
2334,αμυγδαλωτός,almondshaped,миндалевидный,B1,food,adjective,Ο καφές είναι αμυγδαλωτός.
2335,η άμυνα,defence,оборона,B1,concepts,noun,η άμυνα είναι σημαντική.
2336,αν και,"although, even though","хотя, несмотря на то что",B1,basics,conjunction,"Αν και κουρασμένος, συνέχισε."
2337,αναγκάζομαι,"to be forced, to be obliged","быть вынужденным, быть обязанным",B1,verbs,verb,Τώρα αναγκάζομαι λίγο.
2338,αναγκάζω,"to force, to oblige","принуждать, обязывать",B1,verbs,verb,Τώρα αναγκάζω λίγο.
2339,αναγκαίος,"necessary, essential",необходимый,B1,feelings,adjective,Ο τρόπος είναι αναγκαίος.
2340,αναγκαστικός,"forced, obligatory","вынужденный, обязательный",B1,concepts,adjective,Ο τρόπος είναι αναγκαστικός.
2341,το αναγνωστήριο,reading room,читальный зал,B1,home,noun,το αναγνωστήριο είναι χρήσιμο.
2342,ο αναγνώστης,reader,читатель,B1,verbs,noun,ο αναγνώστης δουλεύει σήμερα.
2343,αναίσθητος,"insensitive, unconscious","бесчувственный, бессознательный",B1,descriptions,adjective,Ο φίλος μου είναι αναίσθητος.
2344,η ανακαίνιση,"renovation, restoration","ремонт, восстановление",B1,home,noun,η ανακαίνιση είναι χρήσιμη.
2345,ανακαινισμένος,"renovated, restored","отремонтированный, восстановленный",B1,home,adjective,Ο χώρος είναι ανακαινισμένος.
2346,ανακαλύπτω,"to discover, to find out","обнаруживать, узнавать",B1,verbs,verb,Σήμερα ανακαλύπτω κάτι μικρό.
2347,η ανακάλυψη,"discovery, find","открытие, найти",B1,concepts,noun,η ανακάλυψη είναι σημαντική.
2348,η ανακεφαλαίωση,summary,резюме,B1,descriptions,noun,η ανακεφαλαίωση είναι καλή.
2349,ανακοινώνω,to announce,объявлять,B1,verbs,verb,Τώρα ανακοινώνω λίγο.
2350,ανακυκλωμένος,recycled,переработанный,B1,nature,adjective,Ο φίλος μου είναι ανακυκλωμένος.
2351,ανακυκλώνω,to recycle,перерабатывать,B1,verbs,verb,Τώρα ανακυκλώνω λίγο.
2352,αναλαμβάνω,"to take on, undertake","браться за, принимать на себя",B1,verbs,verb,Σήμερα αναλαμβάνω κάτι μικρό.
2353,αναμένω,"to expect, to wait","ожидать, ждать",B1,verbs,verb,Τώρα αναμένω λίγο.
2354,αναμμένος,switched on,включенный,B1,objects,adjective,Ο υπολογιστής είναι αναμμένος.
2355,η ανάμνηση,memory,память,B1,concepts,noun,η ανάμνηση είναι σημαντική.
2356,ο ανανάς,pineapple,ананас,B1,food,noun,ο ανανάς είναι νόστιμος.
2357,ανανεώνω,to renew,возобновлять,B1,verbs,verb,Τώρα ανανεώνω λίγο.
2358,η αναπηρία,disability,инвалидность,B1,health,noun,η αναπηρία είναι καλή.
2359,η ανάπτυξη,"development, growth","развитие, рост",B1,concepts,noun,η ανάπτυξη είναι σημαντική.
2360,αναπτύσσομαι,"to be developed, to grow","разрабатываться, расти",B1,verbs,verb,Τώρα αναπτύσσομαι λίγο.
2361,αναπτύσσω,to develop,развивать,B1,verbs,verb,Τώρα αναπτύσσω λίγο.
2362,αναρρώνω,to recover,выздоравливать,B1,verbs,verb,Τώρα αναρρώνω λίγο.
2363,η ανάρρωση,"recovery, recuperation",восстановление,B1,health,noun,η ανάρρωση είναι καλή.
2364,αναρρωτικός,"recuperative, convalescent","восстанавливающий, выздоравливающий",B1,health,adjective,Ο φίλος μου είναι αναρρωτικός.
2365,αναρωτιέμαι,"to wonder, to ask myself","задаваться вопросом, удивляться",B1,verbs,verb,Σήμερα αναρωτιέμαι με έναν φίλο.
2366,αναστατωμένος,upset,"расстроенный, взволнованный",B1,space,adjective,Ο δρόμος είναι αναστατωμένος.
2367,η ανατροφή,"upbringing, breeding","воспитание, разведение",B1,space,noun,η ανατροφή είναι καλή.
2368,αναφέρομαι,"to refer, to talk about","ссылаться, говорить о",B1,verbs,verb,Σήμερα αναφέρομαι με έναν φίλο.
2369,η αναφορά,"reference, report","ссылка, доклад",B1,concepts,noun,η αναφορά είναι όμορφη.
2370,η αναχώρηση,departure,отъезд,B1,travel,noun,η αναχώρηση είναι όμορφη.
2371,αναχωρώ,to depart,"отправляться, отбывать",B1,verbs,verb,Τώρα αναχωρώ λίγο.
2372,ανεβοκατεβαίνω,"to go up and down, to fluctuate","подниматься и опускаться, колебаться",B1,verbs,verb,Σήμερα ανεβοκατεβαίνω νωρίς.
2373,ανεκτίμητος,"priceless, invaluable",бесценный,B1,money,adjective,Ο φίλος μου είναι ανεκτίμητος.
2374,ο ανεμοστρόβιλος,tornado,смерч,B1,objects,noun,ο ανεμοστρόβιλος είναι χρήσιμος.
2375,η ανεργία,unemployment,безработица,B1,society,noun,η ανεργία είναι σημαντική.
2376,άνετα,comfortably,комфортно,B1,concepts,adverb,Κάθισε άνετα δίπλα μου.
2377,άνετος,"comfortable, comfy","комфортный, удобный",B1,concepts,adjective,Ο τρόπος είναι άνετος.
2378,ανεύθυνος,irresponsible,безответственный,B1,society,adjective,Ο φίλος μου είναι ανεύθυνος.
2379,η ανευθυνότητα,irresponsibility,безответственность,B1,concepts,noun,η ανευθυνότητα είναι σημαντική.
2380,ο άνηθος,dill,укроп,B1,objects,noun,ο άνηθος είναι χρήσιμος.
2381,ανήκω,to belong,принадлежать,B1,verbs,verb,Τώρα ανήκω λίγο.
2382,ανησυχητικός,"worrying, alarming","тревожный, вызывающий беспокойство",B1,feelings,adjective,Ο τρόπος είναι ανησυχητικός.
2383,η ανησυχία,"worry, concern",беспокойство,B1,feelings,noun,η ανησυχία είναι σημαντική.
2384,ανησυχώ,to worry,беспокоиться,B1,verbs,verb,Τώρα ανησυχώ λίγο.
2385,ανθεκτικός,"durable, resistant","долговечный, устойчивый",B1,descriptions,adjective,Ο φίλος μου είναι ανθεκτικός.
2386,το ανθοδοχείο,vase,ваза,B1,home,noun,το ανθοδοχείο είναι χρήσιμο.
2387,το ανθοπωλείο,flower shop,цветочный магазин,B1,clothes,noun,το ανθοπωλείο είναι χρήσιμο.
2388,ο/η ανθοπώλης,florist,флорист,B1,professions,noun,ο ανθοπώλης μένει κοντά μας.
2389,το ανθότυρο,a kind of soft cheese,своего рода мягкий сыр,B1,food,noun,το ανθότυρο είναι νόστιμο.
2390,η ανθρωπότητα,humanity,человечество,B1,concepts,noun,η ανθρωπότητα μένει κοντά μας.
2391,ανθυγιεινός,unhealthy,нездоровый,B1,health,adjective,Ο φίλος μου είναι ανθυγιεινός.
2392,ανίκανος,"inefficient, incapable","неэффективный, неспособный",B1,descriptions,adjective,Ο φίλος μου είναι ανίκανος.
2393,η άνοδος,"rise, increase","подъём, рост",B1,concepts,noun,η άνοδος είναι σημαντική.
2394,το άνοιγμα,opening,открытие,B1,objects,noun,το άνοιγμα είναι χρήσιμο.
2395,η ανοιχτωσιά,"openness, open space","открытость, открытое пространство",B1,concepts,noun,η ανοιχτωσιά είναι σημαντική.
2396,ανοργάνωτος,disorganized,дезорганизованный,B1,descriptions,adjective,Ο φίλος μου είναι ανοργάνωτος.
2397,η ανταλλαγή,exchange,обмен,B1,concepts,noun,η ανταλλαγή είναι σημαντική.
2398,ανταλλάσσω,to exchange,обменивать,B1,verbs,verb,Τώρα ανταλλάσσω λίγο.
2399,ανταμείβω,to reward,вознаграждать,B1,verbs,verb,Τώρα ανταμείβω λίγο.
2400,ανταμώνω,to meet,встречаться,B1,verbs,verb,Τώρα ανταμώνω λίγο.
2401,ανταποκρίνομαι,to respond,отвечать,B1,verbs,verb,Τώρα ανταποκρίνομαι λίγο.
2402,η ανταύγεια,"glow, highlight","отблеск, блик",B1,descriptions,noun,η ανταύγεια είναι καλή.
2403,αντέχω,"to endure, to bear","терпеть, нести",B1,verbs,verb,Τώρα αντέχω λίγο.
2404,αντί,"instead of, in place of","вместо, взамен",B1,concepts,preposition,Πήρα τσάι αντί για καφέ.
2405,η αντιβίωση,antibiotics,антибиотики,B1,health,noun,η αντιβίωση είναι καλή.
2406,το αντίγραφο,copy,копия,B1,objects,noun,το αντίγραφο είναι χρήσιμο.
2407,αντιγράφω,to copy,копировать,B1,verbs,verb,Τώρα αντιγράφω λίγο.
2408,η αντίδραση,reaction,реакция,B1,concepts,noun,η αντίδραση είναι σημαντική.
2409,αντιδραστικός,"reactive, reactionary","реагирующий, реакционный",B1,descriptions,adjective,Ο φίλος μου είναι αντιδραστικός.
2410,αντιδρώ,to react,реагировать,B1,verbs,verb,Τώρα αντιδρώ λίγο.
2411,το αντιηλιακό,"sun block, sunscreen","солнечный блок, солнцезащитный крем",B1,weather,noun,το αντιηλιακό είναι όμορφο.
2412,η αντίθεση,"contradiction, contrast","противоречие, контраст",B1,concepts,noun,η αντίθεση είναι σημαντική.
2413,η αντίθετα,on the contrary,наоборот,B1,descriptions,noun,η αντίθετα είναι καλή.
2414,η αντικαταβολή,payment upon delivery,оплата при доставке,B1,shopping,noun,η αντικαταβολή είναι καλή.
2415,η αντικατάσταση,"replacement, substitution",замена,B1,concepts,noun,η αντικατάσταση είναι σημαντική.
2416,η αντικειμενικότητα,"objectivity, impartiality","объективность, беспристрастность",B1,concepts,noun,η αντικειμενικότητα είναι σημαντική.
2417,αντικοινωνικός,antisocial,антисоциальный,B1,society,adjective,Ο φίλος μου είναι αντικοινωνικός.
2418,αντικολλητικός,non-stick,антипригарный,B1,objects,adjective,Ο υπολογιστής είναι αντικολλητικός.
2419,αντικρίζω,"to face, to look at directly","смотреть прямо на, оказываться лицом к лицу",B1,verbs,verb,Τώρα αντικρίζω λίγο.
2420,η αντίληψη,"perception, understanding","восприятие, понимание",B1,space,noun,η αντίληψη είναι καλή.
2421,ο αντίλογος,"riposte, counterargument","рипост, контраргумент",B1,descriptions,noun,ο αντίλογος είναι καλός.
2422,αντιμετωπίζω,"to face, deal with","сталкиваться с, справляться с",B1,verbs,verb,Τώρα αντιμετωπίζω λίγο.
2423,η αντιμετώπιση,"confrontation, dealing","противостояние, сделка",B1,concepts,noun,η αντιμετώπιση είναι σημαντική.
2424,αντιπαθητικός,"obnoxious, disagreeable","отвратительный, неприятный",B1,descriptions,adjective,Ο φίλος μου είναι αντιπαθητικός.
2425,αντίπαλος,opponent,противник,B1,descriptions,adjective,Ο φίλος μου είναι αντίπαλος.
2426,αντιπροσωπεύω,to represent,представлять,B1,verbs,verb,Τώρα αντιπροσωπεύω λίγο.
2427,ο/η αντιπρόσωπος,representative,представитель,B1,objects,noun,ο αντιπρόσωπος είναι χρήσιμος.
2428,η αντίρρηση,objection,возражение,B1,concepts,noun,η αντίρρηση είναι σημαντική.
2429,αντίστοιχα,accordingly,соответственно,B1,descriptions,adverb,Δουλεύει αντίστοιχα με το πρόγραμμα.
2430,αντιστοιχώ,to correspond,соответствовать,B1,verbs,verb,Τώρα αντιστοιχώ λίγο.
2431,αντίστροφα,contrarily,противоположно,B1,descriptions,adverb,Μιλάει αντίστροφα.
2432,ο αντίχειρας,thumb,большой палец,B1,body,noun,ο αντίχειρας είναι σημαντικός για το σώμα.
2433,η αντοχή,"endurance, durability","выносливость, долговечность",B1,concepts,noun,η αντοχή είναι σημαντική.
2434,η αντωνυμία,pronoun,местоимение,B1,school,noun,η αντωνυμία είναι χρήσιμη.
2435,η Άνω Πορόια,Ano Poroia,Ано Пороя,B1,geography,noun,η Άνω Πορόια είναι όμορφη.
2436,το ανώι,first floor,первый этаж,B1,home,noun,το ανώι είναι χρήσιμο.
2437,άνω κάτω,in a mess,в беспорядке,B1,objects,phrase,Το σπίτι είναι άνω κάτω.
2438,ανώνυμος,anonymous,анонимный,B1,descriptions,adjective,Ο φίλος μου είναι ανώνυμος.
2439,ανώριμος,immature,незрелый,B1,objects,adjective,Ο αδελφός μου είναι ανώριμος.
2440,η ανωριμότητα,immaturity,незрелость,B1,concepts,noun,η ανωριμότητα είναι σημαντική.
2441,ανώτερος,"superior, higher","превосходящий, выше",B1,space,adjective,Ο δρόμος είναι ανώτερος.
2442,ανώφελος,"fruitless, pointless","бесплодный, бессмысленный",B1,descriptions,adjective,Ο φίλος μου είναι ανώφελος.
2443,αξέχαστος,unforgettable,незабываемый,B1,descriptions,adjective,Ο φίλος μου είναι αξέχαστος.
2444,αξέχαστα,"unforgotten, unforgettable","незабытый, незабываемый",B1,descriptions,adjective,Τα παιδιά είναι αξέχαστα.
2445,άξιος,"worthy, capable","достойный, способный",B1,descriptions,adjective,Ο φίλος μου είναι άξιος.
2446,η αξία,"value, worth",ценность,B1,concepts,noun,η αξία είναι σημαντική.
2447,αξίζω,to be worth,быть достойным,B1,verbs,verb,Τώρα αξίζω λίγο.
2448,αξιόλογος,"distinguished, meritorious","отличающийся, заслуженный",B1,descriptions,adjective,Ο φίλος μου είναι αξιόλογος.
2449,η αξιολόγηση,"evaluation, assessment",оценка,B1,school,noun,η αξιολόγηση είναι χρήσιμη.
2450,η αξιοποίηση,utilization,использование,B1,concepts,noun,η αξιοποίηση είναι σημαντική.
2451,αξιοποιώ,to utilize,использовать с пользой,B1,verbs,verb,Τώρα αξιοποιώ λίγο.
2452,το αόριστο άρθρο,indefinite article,неопределённый артикль,B1,school,noun,το αόριστο είναι χρήσιμο.
2453,αόριστα,indefinitely,неопределённо,B1,descriptions,adverb,Μιλάει αόριστα.
2454,απαγορευμένος,"prohibited, forbidden",запрещенный,B1,concepts,adjective,Ο τρόπος είναι απαγορευμένος.
2455,απαγορεύω,to forbid,запрещать,B1,verbs,verb,Τώρα απαγορεύω λίγο.
2456,απαισιόδοξος,pessimistic,пессимистичный,B1,descriptions,adjective,Ο φίλος μου είναι απαισιόδοξος.
2457,απαίσιος,"awful, terrible",ужасный,B1,descriptions,adjective,Ο φίλος μου είναι απαίσιος.
2458,η απαίτηση,"demand, requirement","спрос, требование",B1,descriptions,noun,η απαίτηση μένει κοντά μας.
2459,απαιτητικός,demanding,требующий,B1,objects,adjective,Ο υπολογιστής είναι απαιτητικός.
2460,απαιτώ,"to demand, to require",требовать,B1,verbs,verb,Τώρα απαιτώ λίγο.
